Показатель,value_float
"Число магазинов, шт",1242.0
"Открыто новых магазинов, шт",16.0
"Торговый оборот GMV, млрд руб",540.4
"Онлайн продажи, млрд руб",386.0
"Доля онлайн продаж, %",71.0
"Товарный ассортимент, тыс ед",191.0
"Количество заказов, млн",4.0
"Выручка, млрд руб",434.4
"Операционная прибыль, млрд руб",16.3
"EBITDA, млрд руб",21.5
"Чистая прибыль, млрд руб",-5.2
"Чистая прибыль н/с, млрд руб",-5.2
"Опер.денежный поток, млрд руб",16.8
"CAPEX, млрд руб",6.8
"FCF, млрд руб",-1.74
"Див.выплата, млрд руб",0.0
"Дивиденд, руб/акцию",0.0
"Див доход, ао, %",0.0
"Дивиденды/прибыль, %",0.0
"Опер. расходы, млрд руб",75.0
"Себестоимость, млрд руб",343.0
"Расх на персонал, млрд руб",25.8
"Процентные расходы, млрд руб",15.7
"Активы, млрд руб",360.0
"Чистые активы, млрд руб",-0.2
"Долг, млрд руб",86.4
"Наличность, млрд руб",18.7
"Чистый долг, млрд руб",67.7
"Цена акции ао, руб",164.0
"Число акций ао, млн",179.8
"Free Float, %",24.0
"Капитализация, млрд руб",29.5
"EV, млрд руб",97.2
"Баланс стоимость, млрд руб",-73.6
"EPS, руб",-28.9
"FCF/акцию, руб",-9.68
"BV/акцию, руб",-409.4
"Рентаб EBITDA, %",4.9
"Чистая рентаб, %",-1.2
"Доходность FCF, %",-5.9
"ROE, %",2600.0
"ROA, %",-1.4
P/E,-5.67
P/FCF,-16.9
P/S,0.07
P/BV,-0.4
EV/EBITDA,4.52
Долг/EBITDA,3.15
"Персонал, чел",28356.0
"Произв.труда, млн руб/чел/год",15.3
"Расходы/чел/год, тыс.р",909.9
"R&D/CAPEX, %",0.0
"CAPEX/Выручка, %",2.0
IR рейтинг,4.0
Качество фин.отчетности,5.0
Презентации для инвесторов,5.0
Присутствие на смартлабе,3.0
Годовой отчет,5.0
Сайт для инвесторов,4.0
Календарь инвесторов,1.0
Обратная связь,5.0
