,AFKS_return,LKOH_return,RUAL_return,SBER_return,TATN_return,RISK_FREE_return,portfolio_return
2024-01-02,0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-03,-0.0002490950365052347,-0.0014134065770874194,-0.0015909090909085762,-0.0019229065130697803,-0.0006046252438003065,8.61083810813401e-05,-0.005694834080289977
2024-01-04,-0.0007373836354726518,0.000668773425440841,-0.0015730337078646496,0.0002243589743588933,-0.000971008461644814,8.61083810813401e-05,-0.002302185024101041
2024-01-05,0.0008785183380039455,-0.00018608772707078347,0.0007578347578345292,0.0002553626149130813,0.0001735776277723586,8.61083810813401e-05,0.001965313992534471
2024-01-06,-4.291582367726629e-05,-3.0973451327350604e-05,-0.00010025780578628794,-0.0001381477962136651,0.0,8.61083810813401e-05,-0.00022618649592322986
2024-01-07,-0.000274577102230877,6.193320061914618e-05,-0.0008215256905679103,0.00010734236372260831,0.0,8.61083810813401e-05,-0.0008407188473756928
2024-01-08,-0.0019867873746019366,0.00024784244301765274,7.968127490037851e-05,-0.0015755627009640663,0.00040551724137917114,8.61083810813401e-05,-0.0027432007351874603
2024-01-09,0.0006164053075993403,-0.003403532106692239,0.0006378132118448743,0.0007486631016040132,0.007010651542396229,8.61083810813401e-05,0.005696109437833557
2024-01-10,0.0007378687829403887,-0.0005251767421713321,0.0005406178489700576,0.0004017727404822608,-0.0014882772680932443,8.61083810813401e-05,-0.00024708625679052915
2024-01-11,-0.0036065773447007225,-0.0003119160557702594,-0.003819095477385633,-0.0006222448905240125,0.0009884726224780374,8.61083810813401e-05,-0.007285252764821251
2024-01-12,0.0004987235053136541,0.00015059160989557794,0.00029350104821792135,-6.601138877804528e-05,-0.00176752285589838,8.61083810813401e-05,-0.0008046097001679318
2024-01-13,0.0,0.0,0.0,0.00022331786542916014,-0.0002206936084837386,8.61083810813401e-05,8.873263802676165e-05
2024-01-14,-0.0,-0.0,0.0,-0.0004371822803193738,-0.0001201888682214563,8.61083810813401e-05,-0.00047126276745949
2024-01-15,0.0,-0.0,0.0008574610244986017,0.00015203069572138018,-0.0003002144388848007,8.61083810813401e-05,0.0007953856624165213
2024-01-16,-0.0,-0.0,-0.0,0.0,0.0003594864479313872,8.61083810813401e-05,0.0004455948290127273
2024-01-17,0.0,0.0,0.0,0.0,0.00028032036613263856,8.61083810813401e-05,0.00036642874721397865
2024-01-18,-0.0,-0.0,-0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-19,-0.0,-0.0,-0.0,-0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-20,-0.0,-0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-21,-0.0,0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-22,0.0,0.0,-0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-23,0.0,-0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-24,-0.0,-0.0,0.0,-0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-25,0.0,0.0,-0.0,-0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-26,0.0,0.0,-0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-27,0.0,-0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-28,0.0,0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-29,-0.0,0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-30,0.0,0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-31,0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-01,0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-02,-0.0,0.0,-0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-03,0.0,-0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-04,0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-05,-0.0,0.0008485446472595076,0.0,-0.0,0.0,8.61083810813401e-05,0.0009346530283408477
2024-02-06,0.0,0.0005001751313470603,0.0,0.0,0.0,8.61083810813401e-05,0.0005862835124284004
