,AFKS_return,PHOR_return,RUAL_return,SBER_return,TATN_return,RISK_FREE_return,portfolio_return
2024-01-02,0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-03,-0.0002490950365052935,0.0,-0.0015909090909091048,0.0,-0.0006046252438005161,8.61083810813401e-05,-0.0023585209901335743
2024-01-04,-0.0007373836354728257,-0.0,-0.0015730337078651722,-0.0,-0.0009710084616451508,8.61083810813401e-05,-0.0031953174239018087
2024-01-05,0.0008785183380041527,0.0,0.000757834757834781,-0.0,0.0001735776277724188,8.61083810813401e-05,0.0018960391046926926
2024-01-06,-4.2915823677276414e-05,0.0,-0.00010025780578632125,0.0,0.0,8.61083810813401e-05,-5.706524838225756e-05
2024-01-07,-0.0002745771022309418,0.0,-0.0008215256905681833,-0.0,0.0,8.61083810813401e-05,-0.0010099944117177848
2024-01-08,-0.0019867873746024054,0.0,7.968127490040498e-05,0.0,0.00040551724137931176,8.61083810813401e-05,-0.0014154804772413484
2024-01-09,0.0006164053075994857,-0.0,0.0006378132118450863,-0.0,0.0070106515423986595,8.61083810813401e-05,0.008350978442924572
2024-01-10,0.0007378687829405627,0.0,0.0005406178489702373,-0.0,-0.0014882772680937604,8.61083810813401e-05,-0.00012368225510162045
2024-01-11,-0.0036065773447015734,0.0,-0.003819095477386902,0.0,0.00098847262247838,8.61083810813401e-05,-0.006351091818528755
2024-01-12,0.0004987235053137717,-0.0,0.0002935010482180189,0.0,-0.0017675228558989928,8.61083810813401e-05,-0.0008891899212858622
2024-01-13,-0.0010760888994815953,-0.0,-0.0003137254901960773,-0.0,-0.00022069360848381512,8.61083810813401e-05,-0.0015243996170801475
2024-01-14,0.0003145695364238476,0.0,-0.0005477920626047972,0.0,-0.00012018886822149797,8.61083810813401e-05,-0.00026730301332110744
2024-01-15,-0.0006471494607087979,0.0,0.0008574610244988867,-0.0,-0.0003002144388849048,8.61083810813401e-05,-3.7944940134759445e-06
2024-01-16,-0.0,0.0,-0.0,0.0,0.0003594864479315118,8.61083810813401e-05,0.0004455948290128519
2024-01-17,0.0,0.0,0.0,0.0,0.00028032036613273576,8.61083810813401e-05,0.00036642874721407585
2024-01-18,-0.0,0.0,-0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-19,-0.0,-0.0,-0.0,-0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-20,-0.0,0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-21,-0.0,-0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-22,0.0,-0.0,-0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-23,0.0,0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-24,-0.0,-0.0,0.0,-0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-25,0.0,0.0,-0.0,-0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-26,0.0,0.0,-0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-27,0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-28,0.0,-0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-29,-0.0,0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-30,0.0,-0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-31,0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-01,0.0,-0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-02,-0.0,-0.0,-0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-03,0.0,0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-04,0.0,-0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-05,-0.0,0.0,0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-06,0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-07,0.0,-0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-08,0.0,-0.0,-0.0,-0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-09,0.0,0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-10,-0.0,0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
