,AFKS_return,LKOH_return,RUAL_return,SBER_return,TATN_return,RISK_FREE_return,portfolio_return
2024-01-02,0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-03,-0.0002490950365052413,0.0,-0.0015909090909086356,-0.001922906513069871,-0.0006046252438003363,8.61083810813401e-05,-0.004281427503202744
2024-01-04,-0.0007373836354726712,-0.0,-0.0015730337078647082,0.00022435897435890389,-0.000971008461644862,8.61083810813401e-05,-0.002970958449541997
2024-01-05,0.0008785183380039686,0.0,0.0007578347578345575,0.0002553626149130934,0.00017357762777236717,8.61083810813401e-05,0.002151401719605327
2024-01-06,-4.291582367726742e-05,0.0,-0.00010025780578629168,-0.00013814779621367163,0.0,8.61083810813401e-05,-0.00019521304459589064
2024-01-07,-0.0002745771022308842,-0.0,-0.000821525690567941,0.00010734236372261338,0.0,8.61083810813401e-05,-0.0009026520479948717
2024-01-08,-0.001986787374601989,-0.0,7.968127490038148e-05,-0.0015755627009641407,0.00040551724137919114,8.61083810813401e-05,-0.002991043178205217
2024-01-09,0.0006164053075993566,0.0,0.0006378132118448981,0.0007486631016040485,0.007010651542396575,8.61083810813401e-05,0.009099641544526218
2024-01-10,0.0007378687829404081,0.0,0.0005406178489700778,0.00040177274048227977,-0.0014882772680933178,8.61083810813401e-05,0.0002780904853807879
2024-01-11,-0.0036065773447008175,0.0,-0.0038190954773857752,-0.0006222448905240418,0.0009884726224780862,8.61083810813401e-05,-0.006973336709051209
2024-01-12,0.0004987235053136672,-0.0,0.0002935010482179323,-6.601138877804839e-05,-0.0017675228558984672,8.61083810813401e-05,-0.0009552013100635762
2024-01-13,-0.0010760888994813698,0.0,-0.0003137254901959847,-0.0,-0.0002206936084837495,8.61083810813401e-05,-0.0015243996170797637
2024-01-14,0.0003145695364237817,-0.0,-0.0005477920626046355,-0.0004371822803193944,-0.00012018886822146224,8.61083810813401e-05,-0.0007044852936403703
2024-01-15,-0.0006471494607086623,-0.0,0.0008574610244986337,0.00015203069572138737,-0.0003002144388848155,8.61083810813401e-05,0.00014823620170788336
2024-01-16,-0.0,-0.0,-0.0,0.0,0.0003594864479314049,8.61083810813401e-05,0.000445594829012745
